label,text
ham,Hey RAV!! Are we still meeting @ 6pm today??? I will bring the documents & laptop. Let me know ASAP!!
spam,CONGRATULATIONS!!! You have WON a FREE iPhone 15 worth $999. Click http://freegift.com NOW or call 09012345678 to claim!!!
ham,"Rose, can you pls send me the project report before 5pm? I need to review it before the meeting tomorrow."
spam,URGENT!!! Your bank account is suspended!!! Verify immediately at http://secure-bank-login.com to avoid BLOCKING.
ham,Hey!!! I'm running late today :( Traffic is crazyyyy. I may reach office around 10:30am.
spam,Winner!! You have been selected for a $5000 CASH reward. Reply WIN to 80090 immediately!!!
ham,"Hi Rose, thanks for helping me yesterday with the NLP assignment. Really appreciate it :)"
spam,LIMITED OFFER!!! Get FREE vacation tickets to Hawaii. Call NOW 08098765432 before offer expires!!!
ham,"Rav, please remember to bring the charger and HDMI cable for the presentation today."
spam,You are selected for a FREE Amazon gift card worth $200!!! Visit http://amazongiftbonus.net now.
ham,Let's catch up for coffee this weekend?? Maybe Saturday afternoon around 3pm.
spam,ACT NOW!!! Lowest insurance rates available. Call 07045612389 today for FREE consultation!!!
ham,Did you check the email I sent yesterday regarding the machine learning project?
spam,"Dear customer, your ATM card will be deactivated. Update KYC details immediately at http://bank-update-secure.com"
ham,Hey bro!!! Movie tonight?? I heard the new sci-fi movie is awesome!!!
spam,Hot singles in your area!!! Click here http://datingnow.com and start chatting instantly!!!
ham,"Rose, please review the code I pushed to GitHub. There might be a few bugs in the data preprocessing step."
spam,WINNER!!! Claim your FREE shopping voucher worth $300 today!!! Text WIN to 91919.
ham,Don't forget our gym session today evening at 7pm.
spam,Your mobile number has been selected for FREE data pack. Dial *999# now!!!
ham,Can you share the NLP lecture slides from today's class? I missed the first 20 minutes.
spam,"You have WON a lottery of $1,000,000 USD!!! Send your bank details to claim immediately."
ham,I'm planning to start the model training tonight after cleaning the dataset.
spam,Exclusive DEAL!!! Buy 1 get 3 FREE!!! Visit www.superdiscount-sale.com TODAY!!!
ham,"Hey Rose, are you joining the machine learning workshop tomorrow?"
spam,FINAL WARNING!!! Your PayPal account will be LOCKED. Login immediately http://paypal-security-alert.com
label,text
ham,Hey RAV!! Are we still meeting @ 6pm today??? I will bring the documents & laptop. Let me know ASAP!!
spam,CONGRATULATIONS!!! You have WON a FREE iPhone 15 worth $999. Click http://freegift.com NOW or call 09012345678 to claim!!!
ham,"Rose, can you pls send me the project report before 5pm? I need to review it before the meeting tomorrow."
spam,URGENT!!! Your bank account is suspended!!! Verify immediately at http://secure-bank-login.com to avoid BLOCKING.
ham,Hey!!! I'm running late today :( Traffic is crazyyyy. I may reach office around 10:30am.
spam,Winner!! You have been selected for a $5000 CASH reward. Reply WIN to 80090 immediately!!!
ham,"Hi Rose, thanks for helping me yesterday with the NLP assignment. Really appreciate it :)"
spam,LIMITED OFFER!!! Get FREE vacation tickets to Hawaii. Call NOW 08098765432 before offer expires!!!
ham,"Rav, please remember to bring the charger and HDMI cable for the presentation today."
spam,You are selected for a FREE Amazon gift card worth $200!!! Visit http://amazongiftbonus.net now.
ham,Let's catch up for coffee this weekend?? Maybe Saturday afternoon around 3pm.
spam,ACT NOW!!! Lowest insurance rates available. Call 07045612389 today for FREE consultation!!!
ham,Did you check the email I sent yesterday regarding the machine learning project?
spam,"Dear customer, your ATM card will be deactivated. Update KYC details immediately at http://bank-update-secure.com"
ham,Hey bro!!! Movie tonight?? I heard the new sci-fi movie is awesome!!!
spam,Hot singles in your area!!! Click here http://datingnow.com and start chatting instantly!!!
ham,"Rose, please review the code I pushed to GitHub. There might be a few bugs in the data preprocessing step."
spam,WINNER!!! Claim your FREE shopping voucher worth $300 today!!! Text WIN to 91919.
ham,Don't forget our gym session today evening at 7pm.
spam,Your mobile number has been selected for FREE data pack. Dial *999# now!!!
ham,Can you share the NLP lecture slides from today's class? I missed the first 20 minutes.
spam,"You have WON a lottery of $1,000,000 USD!!! Send your bank details to claim immediately."
ham,I'm planning to start the model training tonight after cleaning the dataset.
spam,Exclusive DEAL!!! Buy 1 get 3 FREE!!! Visit www.superdiscount-sale.com TODAY!!!
ham,"Hey Rose, are you joining the machine learning workshop tomorrow?"
spam,FINAL WARNING!!! Your PayPal account will be LOCKED. Login immediately http://paypal-security-alert.com
label,text
ham,Hey RAV!! Are we still meeting @ 6pm today??? I will bring the documents & laptop. Let me know ASAP!!
spam,CONGRATULATIONS!!! You have WON a FREE iPhone 15 worth $999. Click http://freegift.com NOW or call 09012345678 to claim!!!
ham,"Rose, can you pls send me the project report before 5pm? I need to review it before the meeting tomorrow."
spam,URGENT!!! Your bank account is suspended!!! Verify immediately at http://secure-bank-login.com to avoid BLOCKING.
ham,Hey!!! I'm running late today :( Traffic is crazyyyy. I may reach office around 10:30am.
spam,Winner!! You have been selected for a $5000 CASH reward. Reply WIN to 80090 immediately!!!
ham,"Hi Rose, thanks for helping me yesterday with the NLP assignment. Really appreciate it :)"
spam,LIMITED OFFER!!! Get FREE vacation tickets to Hawaii. Call NOW 08098765432 before offer expires!!!
ham,"Rav, please remember to bring the charger and HDMI cable for the presentation today."
spam,You are selected for a FREE Amazon gift card worth $200!!! Visit http://amazongiftbonus.net now.
ham,Let's catch up for coffee this weekend?? Maybe Saturday afternoon around 3pm.
spam,ACT NOW!!! Lowest insurance rates available. Call 07045612389 today for FREE consultation!!!
ham,Did you check the email I sent yesterday regarding the machine learning project?
spam,"Dear customer, your ATM card will be deactivated. Update KYC details immediately at http://bank-update-secure.com"
ham,Hey bro!!! Movie tonight?? I heard the new sci-fi movie is awesome!!!
spam,Hot singles in your area!!! Click here http://datingnow.com and start chatting instantly!!!
ham,"Rose, please review the code I pushed to GitHub. There might be a few bugs in the data preprocessing step."
spam,WINNER!!! Claim your FREE shopping voucher worth $300 today!!! Text WIN to 91919.
ham,Don't forget our gym session today evening at 7pm.
spam,Your mobile number has been selected for FREE data pack. Dial *999# now!!!
ham,Can you share the NLP lecture slides from today's class? I missed the first 20 minutes.
spam,"You have WON a lottery of $1,000,000 USD!!! Send your bank details to claim immediately."
ham,I'm planning to start the model training tonight after cleaning the dataset.
spam,Exclusive DEAL!!! Buy 1 get 3 FREE!!! Visit www.superdiscount-sale.com TODAY!!!
ham,"Hey Rose, are you joining the machine learning workshop tomorrow?"
spam,FINAL WARNING!!! Your PayPal account will be LOCKED. Login immediately http://paypal-security-alert.com
label,text
ham,Hey RAV!! Are we still meeting @ 6pm today??? I will bring the documents & laptop. Let me know ASAP!!
spam,CONGRATULATIONS!!! You have WON a FREE iPhone 15 worth $999. Click http://freegift.com NOW or call 09012345678 to claim!!!
ham,"Rose, can you pls send me the project report before 5pm? I need to review it before the meeting tomorrow."
spam,URGENT!!! Your bank account is suspended!!! Verify immediately at http://secure-bank-login.com to avoid BLOCKING.
ham,Hey!!! I'm running late today :( Traffic is crazyyyy. I may reach office around 10:30am.
spam,Winner!! You have been selected for a $5000 CASH reward. Reply WIN to 80090 immediately!!!
ham,"Hi Rose, thanks for helping me yesterday with the NLP assignment. Really appreciate it :)"
spam,LIMITED OFFER!!! Get FREE vacation tickets to Hawaii. Call NOW 08098765432 before offer expires!!!
ham,"Rav, please remember to bring the charger and HDMI cable for the presentation today."
spam,You are selected for a FREE Amazon gift card worth $200!!! Visit http://amazongiftbonus.net now.
ham,Let's catch up for coffee this weekend?? Maybe Saturday afternoon around 3pm.
spam,ACT NOW!!! Lowest insurance rates available. Call 07045612389 today for FREE consultation!!!
ham,Did you check the email I sent yesterday regarding the machine learning project?
spam,"Dear customer, your ATM card will be deactivated. Update KYC details immediately at http://bank-update-secure.com"
ham,Hey bro!!! Movie tonight?? I heard the new sci-fi movie is awesome!!!
spam,Hot singles in your area!!! Click here http://datingnow.com and start chatting instantly!!!
ham,"Rose, please review the code I pushed to GitHub. There might be a few bugs in the data preprocessing step."
spam,WINNER!!! Claim your FREE shopping voucher worth $300 today!!! Text WIN to 91919.
ham,Don't forget our gym session today evening at 7pm.
spam,Your mobile number has been selected for FREE data pack. Dial *999# now!!!
ham,Can you share the NLP lecture slides from today's class? I missed the first 20 minutes.
spam,"You have WON a lottery of $1,000,000 USD!!! Send your bank details to claim immediately."
ham,I'm planning to start the model training tonight after cleaning the dataset.
spam,Exclusive DEAL!!! Buy 1 get 3 FREE!!! Visit www.superdiscount-sale.com TODAY!!!
ham,"Hey Rose, are you joining the machine learning workshop tomorrow?"
spam,FINAL WARNING!!! Your PayPal account will be LOCKED. Login immediately http://paypal-security-alert.com
label,text
ham,Hey RAV!! Are we still meeting @ 6pm today??? I will bring the documents & laptop. Let me know ASAP!!
spam,CONGRATULATIONS!!! You have WON a FREE iPhone 15 worth $999. Click http://freegift.com NOW or call 09012345678 to claim!!!
ham,"Rose, can you pls send me the project report before 5pm? I need to review it before the meeting tomorrow."
spam,URGENT!!! Your bank account is suspended!!! Verify immediately at http://secure-bank-login.com to avoid BLOCKING.
ham,Hey!!! I'm running late today :( Traffic is crazyyyy. I may reach office around 10:30am.
spam,Winner!! You have been selected for a $5000 CASH reward. Reply WIN to 80090 immediately!!!
ham,"Hi Rose, thanks for helping me yesterday with the NLP assignment. Really appreciate it :)"
spam,LIMITED OFFER!!! Get FREE vacation tickets to Hawaii. Call NOW 08098765432 before offer expires!!!
ham,"Rav, please remember to bring the charger and HDMI cable for the presentation today."
spam,You are selected for a FREE Amazon gift card worth $200!!! Visit http://amazongiftbonus.net now.
ham,Let's catch up for coffee this weekend?? Maybe Saturday afternoon around 3pm.
spam,ACT NOW!!! Lowest insurance rates available. Call 07045612389 today for FREE consultation!!!
ham,Did you check the email I sent yesterday regarding the machine learning project?
spam,"Dear customer, your ATM card will be deactivated. Update KYC details immediately at http://bank-update-secure.com"
ham,Hey bro!!! Movie tonight?? I heard the new sci-fi movie is awesome!!!
spam,Hot singles in your area!!! Click here http://datingnow.com and start chatting instantly!!!
ham,"Rose, please review the code I pushed to GitHub. There might be a few bugs in the data preprocessing step."
spam,WINNER!!! Claim your FREE shopping voucher worth $300 today!!! Text WIN to 91919.
ham,Don't forget our gym session today evening at 7pm.
spam,Your mobile number has been selected for FREE data pack. Dial *999# now!!!
